eval_input_year,model,n,MAE_pct_points,RMSE_pct_points,MedianAE_pct_points,R2_pct,F1_elevated,Precision_elevated,Recall_elevated
2006,Baseline: current-year layoff pct,18,0.16657175915414973,0.5906787052906175,0.001365836223385708,0.864074329093357,0.0,0.0,0.0
2006,Baseline: global median,18,0.6854002808329628,1.6051182327573923,0.001912375717766368,-0.0037207736798130497,0.0,0.0,0.0
2006,Baseline: company median,18,0.7455119130825426,1.622220929208152,0.009725178112104826,-0.02522421916830142,0.0,0.0,0.0
2006,Empirical Bayes company-history model,18,0.6660040570608109,1.5525223498362373,0.0053083893785921266,0.060980570269484335,0.0,0.0,0.0
2006,Direct Ridge,18,1.5245402914081052,2.037030826593208,1.044542044897899,-0.6165683037157372,0.0,0.0,0.0
2006,Direct ElasticNet,18,2.6014563247102913,2.9823518212294067,2.8294150132223903,-2.4651066537801904,0.0,0.0,0.0
2006,Direct Huber,18,3.6029017616881336,4.169745008078825,3.8568335148706123,-5.773573560659398,0.16666666666666666,0.09090909090909091,1.0
2006,Direct Poisson Regression,18,1.0446413601512414,1.7964380363211145,0.3641140609906932,-0.2572549104078139,0.0,0.0,0.0
2006,Direct Tweedie / NB-style Regression,18,1.0364453245315566,1.7432582273524058,0.39226350641676344,-0.1839198545532592,0.0,0.0,0.0
2006,Direct Random Forest,18,1.102035612247272,1.6942906891124814,0.47579608393038453,-0.11834217959599824,0.0,0.0,0.0
2006,Direct Gradient Boosting,18,1.564800089133339,2.1140440947956547,0.9929028888928819,-0.7411129267556771,0.0,0.0,0.0
2006,Direct Hist Gradient Boosting,18,0.6853950993344652,1.6051194840265444,0.0018531662350080857,-0.0037223385805229547,0.0,0.0,0.0
2006,Direct MLP Regressor,18,1.4815955349316001,2.1204884388813965,0.8850723389345423,-0.7517441454342053,0.0,0.0,0.0
2006,Residual Ridge,18,1.6005919850709835,2.126667340170297,1.1115899272527363,-0.7619678503120044,0.0,0.0,0.0
2006,Residual ElasticNet,18,2.626171920626774,3.0377491246824215,2.8386331598078307,-2.5950312140617706,0.0,0.0,0.0
2006,Residual Huber,18,3.270582779622954,3.7650783630394304,3.278229505156782,-4.522642058853393,0.0,0.0,0.0
2006,Residual Random Forest,18,1.1759103192518592,1.7505634204179519,0.5686824743905072,-0.19386317157753252,0.0,0.0,0.0
2006,Residual Gradient Boosting,18,1.599666032329041,2.143521837493574,1.0434435113770348,-0.7900068022829596,0.0,0.0,0.0
2006,Residual Hist Gradient Boosting,18,0.8397370447622952,1.7194343998831347,0.10438811170017681,-0.15178144844732588,0.0,0.0,0.0
2006,Direct XGBoost,18,1.4343294732316734,2.1558151910436054,0.9722553922596491,-0.8105974837275909,0.0,0.0,0.0
2006,Residual XGBoost,18,1.4319094326914186,2.108313983507697,0.9972844796896085,-0.7316871537990879,0.6666666666666666,0.5,1.0
2006,Direct LightGBM,18,1.1577706380000683,1.8274557602143988,0.6184404488371957,-0.30104584802269785,0.0,0.0,0.0
2006,Residual LightGBM,18,1.1774105324733963,1.8706826669426804,0.6385481954619263,-0.36332406628108815,0.0,0.0,0.0
2007,Baseline: current-year layoff pct,18,6.421983348837282,9.384914076707194,4.999999999999819,-0.8766887130681331,0.11764705882352941,1.0,0.0625
2007,Baseline: global median,18,6.29213862356021,9.301770398731147,4.999999999995962,-0.8435837486648012,0.0,0.0,0.0
2007,Baseline: company median,18,6.586530046915208,9.326851248336668,4.999999999999897,-0.8535390545023862,0.0,0.0,0.0
2007,Empirical Bayes company-history model,18,6.30357103640872,9.259262730414545,5.000000000000027,-0.8267724575208397,0.0,0.0,0.0
2007,Direct Ridge,18,6.344471469143918,8.546874226833967,5.350913603920111,-0.5564897553564572,0.11764705882352941,1.0,0.0625
2007,Direct ElasticNet,18,6.489136057364359,8.258561060213859,5.519856272498641,-0.45325025777104466,0.11764705882352941,1.0,0.0625
2007,Direct Huber,18,6.411727670125913,9.107808155857667,5.252970335689159,-0.7674998629976117,0.11764705882352941,1.0,0.0625
2007,Direct Poisson Regression,18,6.129532696300502,8.731709472088879,5.085007203675001,-0.6245391975516181,0.0,0.0,0.0
2007,Direct Tweedie / NB-style Regression,18,6.219742064899232,8.765830936746017,5.146917914475218,-0.6372606386216402,0.0,0.0,0.0
2007,Direct Random Forest,18,6.135376879009792,8.958868047048924,4.854111350471417,-0.7101646317771049,0.0,0.0,0.0
2007,Direct Gradient Boosting,18,6.088254661795369,8.98150782000384,4.850213799674197,-0.7188189975251282,0.0,0.0,0.0
2007,Direct Hist Gradient Boosting,18,6.267706073701538,9.222909697243278,5.019441970467698,-0.8124563381558245,0.0,0.0,0.0
2007,Direct MLP Regressor,18,7.289443917827788,10.124317523039897,6.379503210135212,-1.1840529083159144,0.0,0.0,0.0
2007,Residual Ridge,18,6.3217521314585685,8.505060395402673,5.33718325647767,-0.5412973946412936,0.11764705882352941,1.0,0.0625
2007,Residual ElasticNet,18,6.462776886344053,8.228128232092136,5.4935241568739155,-0.44255952664868725,0.11764705882352941,1.0,0.0625
2007,Residual Huber,18,6.232264041576851,8.692474715649274,5.5283608826471085,-0.6099727028684749,0.11764705882352941,1.0,0.0625
2007,Residual Random Forest,18,6.079161941045894,8.910832377989115,4.771147260175277,-0.6918746717464623,0.0,0.0,0.0
2007,Residual Gradient Boosting,18,6.011441314928486,8.897143261973845,4.803244704817583,-0.68668043670825,0.0,0.0,0.0
2007,Residual Hist Gradient Boosting,18,6.315286317339723,9.193365192906887,5.0944639433411805,-0.8008629563827159,0.0,0.0,0.0
2007,Direct XGBoost,18,5.982545773881215,8.520821247782395,4.991619944570493,-0.5470150892042387,0.11764705882352941,1.0,0.0625
2007,Residual XGBoost,18,6.006975550039828,8.469339881268052,4.967042721608611,-0.5283779519222391,0.11764705882352941,1.0,0.0625
2007,Direct LightGBM,18,5.805032221469867,8.585132779418355,4.514764930580466,-0.5704556389974393,0.0,0.0,0.0
