eval_input_year,model,MAE_pct_points,RMSE_pct_points,MedianAE_pct_points,R2_pct,F1_elevated_6pct
2006,Baseline: current-year layoff pct,0.16657175915298764,0.5906787052905154,0.0013658362225226206,0.8640743290933309,0.0
2006,Baseline: global median,0.6854002808299248,1.6051182327567823,0.0019123757178844958,-0.003720773679590339,0.0
2006,Baseline: company median,0.7455119130793215,1.6222209292076146,0.009725178112104826,-0.02522421916817419,0.0
2006,Empirical Bayes company-history model,0.6913842824325533,1.6033495506341935,0.00549095532974575,-0.0015099896141796965,0.0
2006,Ridge regression,1.3889269902080845,1.9743141664844126,0.8491046792568653,-0.5185579866732395,0.0
2006,Huber robust regression,1.8755673424107953,2.672267977710686,1.3028986783777727,-1.7820111846549769,0.0
2006,"Random forest, shallow",1.0738737195622163,1.6807440571762144,0.45268959989422286,-0.10053035391652343,0.0
2006,"Gradient boosting, regularized",1.5885216225473051,2.0934515400813263,1.0707109869145173,-0.7073583428044563,0.0
2006,"Hist gradient boosting, regularized",1.1123428352683347,2.164717170105145,0.10186638116783686,-0.8255813085696369,0.0
2007,Baseline: current-year layoff pct,6.421983348867298,9.384914076723618,5.0,-0.8766887130845069,0.11764705882352941
2007,Baseline: global median,6.29213862359293,9.301770398740098,5.0,-0.8435837486779811,0.0
2007,Baseline: company median,6.586530046943668,9.326851248352307,5.0,-0.8535390545182855,0.0
2007,Empirical Bayes company-history model,6.299991696637594,9.257439333202404,5.0,-0.8260530473725052,0.0
2007,Ridge regression,6.217424254337146,8.48637610040778,5.204245135636375,-0.5345328517925505,0.11764705882352941
2007,Huber robust regression,6.059773660075351,8.645224988510607,5.083585210286412,-0.5925175996379604,0.2222222222222222
2007,"Random forest, shallow",6.115250807763882,8.937415281431564,4.817987156681383,-0.7019841708504906,0.0
2007,"Gradient boosting, regularized",5.964117922664659,8.924766722760625,4.703932536936099,-0.6971701586095613,0.0
2007,"Hist gradient boosting, regularized",6.070012537350955,9.096443723784386,4.750087869129738,-0.7630917551371601,0.0
2008,Baseline: current-year layoff pct,1.897846592315145,6.94677779873844,0.0,-500.35892289382883,0.9411764705882353
2008,Baseline: global median,4.933915417570428,4.943660100392661,5.0,-252.90961095738314,0.0
2008,Baseline: company median,4.691270974075612,4.7728672265507734,5.0,-235.66859888203305,0.0
2008,Empirical Bayes company-history model,4.098806430769294,4.120473307583314,4.179056260180949,-175.39088679146735,0.0
2008,Ridge regression,3.9533100619544714,4.3718694499011885,4.4199029789817015,-197.5712195234648,1.0
2008,Huber robust regression,7.3508787562316495,7.586554520036723,8.0,-596.9585770431001,0.0
2008,"Random forest, shallow",0.620198090316165,0.6925697083644672,0.6145283297710735,-3.9832068889508987,1.0
2008,"Gradient boosting, regularized",2.652182150871007,2.6781599530093874,2.680844681455906,-73.51693042575877,0.0
2008,"Hist gradient boosting, regularized",4.739162060346688,4.749693441710726,4.78883690638372,-233.37597584524704,0.0
2009,Baseline: current-year layoff pct,4.964610645366667,4.982039300912484,5.0,-43.09251700926801,0.0
2009,Baseline: global median,0.2756274916924689,0.7629898527123449,0.0,-0.03416090797673155,0.0
2009,Baseline: company median,1.188003044675155,1.9558908933669095,0.11828793774319024,-5.795788309762776,0.0
2009,Empirical Bayes company-history model,0.8758591092902933,1.1853647500753102,0.31824363310800274,-1.4960576353732464,0.0
2009,Ridge regression,2.849683946994121,2.9346741545697648,3.0,-14.299257961894366,0.0
2009,Huber robust regression,3.1029462132107586,3.1399570077544854,3.0,-16.514510188534974,0.0
2009,"Random forest, shallow",3.820402282997942,3.888522000346618,3.726693278921694,-25.860847653713414,0.0
2009,"Gradient boosting, regularized",4.357416239012174,4.414966359020928,4.247950945203926,-33.626244413343656,0.0
2009,"Hist gradient boosting, regularized",3.2303400703477334,3.461257312445244,2.873466720347686,-20.282290421423287,0.0
2010,Baseline: current-year layoff pct,0.23608152991777523,0.5625711244882868,0.002881844380403731,0.383039339970322,0.0
2010,Baseline: global median,0.31005025994939983,0.7804534469110693,0.0017636684303354855,-0.18739879673849758,0.0
2010,Baseline: company median,0.7417338991616125,1.2801247077562128,0.0183486238532109,-2.1945313788123806,0.0
2010,Empirical Bayes company-history model,0.44168589613951753,0.850825599329776,0.04534889003487663,-0.4111841666016154,0.0
