rank,model,group,source,CV_ROC_AUC,CV_F1,CV_precision,CV_recall,CV_accuracy,folds,total_test_rows
1,Repo Gradient Boosting Classifier,Repo classification,next_year.py,0.7366768915149137,0.11630546955624355,0.2148606811145511,0.18300653594771243,0.6949901821903437,17,391
2,Repo SVM,Repo classification,next_year.py,0.7144776736635219,0.07647058823529412,0.12074303405572756,0.12418300653594772,0.7064146940240628,17,391
3,Repo XGBoost Classifier,Repo classification,next_year.py,0.6742269957316845,0.2005951854425981,0.3074438013191547,0.33751633986928103,0.624952427958216,17,391
4,Repo Random Forest Classifier,Repo classification,next_year.py,0.6736899707914201,0.08266253869969041,0.17956656346749225,0.12745098039215688,0.725816309742814,17,391
5,Repo Logistic Regression,Repo classification,next_year.py,0.6177346579094234,0.17207595112348345,0.20629084967320263,0.28758169934640526,0.6908635826565561,17,391
6,Broad Logistic Regression balanced,Broad classification,recommended comparison,0.5994966204898003,0.2168254346272922,0.25450262484856645,0.3856209150326797,0.5905213801767847,17,391
