year,employees_start,new_hires,hiring_rate_pct,revenue_billions_usd,stock_price_change_pct,gdp_growth_us_pct,unemployment_rate_us_pct,is_estimated,confidence_level,layoff_pct,workforce_growth_pct,hire_to_layoff_ratio,revenue_per_employee,layoff_pct_lag1,employees_start_lag1,revenue_billions_usd_lag1,stock_price_change_pct_lag1,new_hires_lag1,co_AMD,co_Adobe,co_Airbnb,co_Alphabet,co_Amazon,co_Apple,co_Block,co_Intel,co_LinkedIn,co_Lyft,co_Meta,co_Microsoft,co_NVIDIA,co_Netflix,co_Oracle,co_PayPal,co_Pinterest,co_SAP,co_Salesforce,co_Shopify,co_Snap,co_Stripe,co_Tesla,co_Uber,co_X (Twitter)
-1.9636790140802365,-0.2825689312972394,-0.31338072609843387,-0.8099163490470593,-0.4579676927063746,1.4319073517992778,-0.24324909565649874,-0.2246197010638178,-0.3805621975536936,-1.0243938285880987,3.256945011691533,-0.9637344780317754,-0.8678406112196788,-0.925026662768801,1.261044537078262,-0.2921895315181428,-0.4062107133727574,0.6899490864431118,-0.16210039221571496,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-1.7499277246787177,-0.3196541994413496,-0.31338072609843387,-0.8099163490470593,-0.4374973088429548,-0.513083386709888,0.570254290183732,-0.11230985053190864,-0.3805621975536936,-1.0243938285880987,0.026132403017087927,-0.8011042320118472,-0.8678406112196788,-0.796568300713312,2.945562481409836,-0.2672788034439796,-0.4402856357449457,1.4615282082910388,-0.29393332629910723,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-1.5361764352771987,-0.3294134805319049,-0.3097727007832615,-0.8009608571007863,-0.40055076235775805,-1.245725637986883,1.30980282276576,-0.39308447686168124,-0.3805621975536936,-1.0243938285880987,-0.3252550710381387,-0.7745724093983242,-0.8561816424214436,-0.6121852744827625,-0.03201369944594943,-0.3140017879858455,-0.41680543713553864,-0.4826768106026078,-0.29393332629910723,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-1.32242514587568,-0.33526904918623807,-0.31338072609843387,-0.8099163490470593,-0.3793314620115302,0.22828079612992858,1.0879382629911518,-0.6177041779254996,-0.3805621975536936,-1.0243938285880987,4.146676115869831,-1.0085211016742608,-0.8678406112196788,-0.49842476965147586,-0.3558588429831345,-0.32629731023370495,-0.3744265420844136,-1.215023095746403,-0.2901359302141319,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-1.1086738564741612,-0.3711832035994816,0.07357998895379822,0.3596708991361873,-0.3843242385635838,1.623789846181348,0.570254290183732,-0.8984788042552722,-0.3805621975536936,-1.0243938285880987,-0.32810608502641636,0.3711036225236828,0.6571702323731424,-0.3987401082171638,3.765554992289246,-0.3336746235824206,-0.35008731181856484,0.25838788269766105,-0.29393332629910723,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8949225670726423,-0.2513392318074625,-0.25926034637084894,-0.7096148392488023,-0.3753372407698873,-0.7878242309387611,-0.0213845358818903,-0.8984788042552722,-0.3805621975536936,-1.0243938285880987,-0.3252550710381387,-0.6839220154687872,-0.7365863159131423,-0.6682123231121713,-0.35848638978668157,-0.3789221454545434,-0.3558141895281763,1.6533331877334616,0.11333740381449306,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6811712776711234,-0.243141435691396,-0.31338072609843387,-0.8099163490470593,-0.38033001732194094,-1.2936962615824006,-1.4265267477877435,-0.2246197010638178,-0.3805621975536936,-1.0243938285880987,11.717362903982462,-1.3896087115173243,-0.8678406112196788,-0.6979559839718813,-0.3558588429831345,-0.2279331322508293,-0.34550580965087563,-0.7573066675315309,-0.23697238502447782,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.46741998826960457,-0.3625950362397929,-0.25781713624478003,-0.6487174940141464,-0.3905652092536508,1.1179178155377085,-3.4233077857592193,1.740802683244591,-0.3805621975536936,-1.0243938285880987,1.4316822992379947,-0.7131800043217257,-0.7892747068113041,-0.46529064203071274,10.742838847279687,-0.21760489356262738,-0.35123268736048713,-1.2629743406070084,-0.29393332629910723,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.2536686988680857,-0.36064318002168183,-0.25252536578252727,-0.6361798052893642,-0.3633545770449586,-0.43458600264449554,0.49629943692552947,1.9092674590424539,-0.3805621975536936,0.9761870601839526,-0.3252550710381387,-0.6112996548535671,-0.6410357981740508,-0.32909663361413766,1.2633668747027909,-0.36810208587642707,-0.3629727866651906,1.1476655146579837,-0.2354534265904877,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.039917409466566856,-0.3469801864949044,-0.29335618559922744,-0.7561833973694216,-0.36135746642413713,-1.6382125583138447,-0.31720394891470144,1.5161829821807726,-0.3805621975536936,0.9761870601839526,-0.3252550710381387,-0.7303527050424524,-0.7979025066217618,-0.3729807535131922,-0.3558588429831345,-0.3656429814268552,-0.33176130314780805,-0.404211137194344,-0.22988391233252395,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.173833879934952,-0.3469801864949044,-0.31338072609843387,-0.8099163490470593,-0.39006593159844544,1.2531077547614398,0.200480023892718,1.0669435800531362,-0.3805621975536936,0.9761870601839526,0.20340896650440954,-0.810027848026005,-0.8678406112196788,-0.5144127324926296,-0.3558588429831345,-0.34842925027985194,-0.3294705520639634,-1.607351462787722,-0.27285777802749434,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.38758516933647086,-0.3567394675854597,-0.31338072609843387,-0.8099163490470593,-0.3930615975296776,-0.11187453482010483,-0.16929424239829588,0.6738591031914549,-0.3805621975536936,0.9761870601839526,0.1156367596160607,-0.8056096358518795,-0.8678406112196788,-0.49842476965147586,0.13136763423046832,-0.34842925027985194,-0.3624000988942295,1.282800841083327,-0.29393332629910723,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
