model,source_file,selected_by,MAE_log_units,RMSE_log_units,R2_log_units,MAE_pct_points,RMSE_pct_points,R2_pct_space
Repo Model 3: XGBoost reg_lambda=100,xgb.py,validation R2=-0.3263,0.07643188542717808,0.11517417610071909,-0.032800884112136997,0.34701740814683046,0.6068403269774423,0.04149310222059277
Repo Model 5b: MLP bug-faithful alpha=100,mlp.py,original final alpha variable,0.0830328656808414,0.12100114930974266,-0.13994884644665784,0.37303993463434765,0.6366482740672086,-0.0549831113712298
Repo Model 1: Ridge Linear Regression alpha=10,models_baseline.py,validation R2=-0.3412,0.10323211885290219,0.21926343169732904,-2.743163407104385,0.41263073405680195,0.7573253592921423,-0.49283350690864847
Repo Model 2: Poisson Regression alpha=0.1,poisson.py,validation R2=-0.2727,0.11695976526936493,0.16181841475972117,-1.0387419407886753,0.5179071564604448,0.7475617884018219,-0.454589887085008
Repo Baseline 3: Global Mean,models_baseline.py,train mean,0.12205265557466212,0.14155493333038535,-0.5601142070436693,0.5432207488303997,0.7023885896235661,-0.28410716960008653
Repo Model 4: LightGBM reg_lambda=10,lgbm.py,validation R2=0.0414,0.14979598505381633,0.17950444770110185,-1.5087466196514518,0.6875387646014802,0.8747695817345577,-0.991744933528357
Repo Baseline 2: Historical Average,models_baseline.py,direct baseline,0.3623630797335422,0.527839968616147,-0.36039819040665355,2.666802210773731,7.8001381437604325,-0.07314258556525899
Repo Baseline 1: Last Year's Value,models_baseline.py,direct baseline,0.37487127839714346,0.6308090320768053,-0.9429306835154878,3.615504854229304,10.732823128871102,-1.0317992033390517
Repo Model 5: MLP corrected alpha=0.1,mlp.py,validation R2=-0.2477,0.4897225240996038,0.723724062772027,-39.78048604733342,3.924250724415404,8.229944052294227,-175.29505914919875
