employees_start,new_hires,hiring_rate_pct,revenue_billions_usd,stock_price_change_pct,gdp_growth_us_pct,unemployment_rate_us_pct,is_estimated,confidence_level,workforce_growth_pct,hire_to_layoff_ratio,revenue_per_employee,layoff_pct_lag1,employees_start_lag1,revenue_billions_usd_lag1,stock_price_change_pct_lag1,new_hires_lag1,co_AMD,co_Adobe,co_Airbnb,co_Alphabet,co_Amazon,co_Apple,co_Block,co_Intel,co_LinkedIn,co_Lyft,co_Meta,co_Microsoft,co_NVIDIA,co_Netflix,co_Oracle,co_PayPal,co_Pinterest,co_SAP,co_Salesforce,co_Shopify,co_Snap,co_Stripe,co_Tesla,co_Uber,co_X (Twitter)
-0.2800300891660723,-0.3066712816682001,-0.7963880546484878,-0.45841855334932613,1.4363506359617115,-0.26642489620098797,-0.12277959071034518,-0.3941317112657172,-1.0606601717798214,-0.9566681945931497,-0.8586513881910441,-0.9394739090543769,1.3276365482164925,-0.2825565654357014,-0.4091427926756448,0.6717648591056025,-0.17730282556904908,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.3114273539418744,-0.3066712816682001,-0.7963880546484878,-0.43983990932437295,-0.5291909093147348,0.5759668649755648,-0.013608198721320894,-0.3941317112657172,-1.0606601717798214,-0.7895649021395832,-0.8586513881910441,-0.8106671253498703,3.066724780974555,-0.26226801824699114,-0.4397080627456314,1.446507507070996,-0.3068182595983529,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.31968979204076964,-0.3033939653205643,-0.7871933747683567,-0.4063077225476283,-1.2695742716610197,1.3417775569542494,-0.2865366786938814,-0.3941317112657172,-1.0606601717798214,-0.762303337811811,-0.8466796751554659,-0.6257839912476171,-0.0073105629004875244,-0.30032156183884656,-0.4186462800083297,-0.5056688827175098,-0.3068182595983529,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.32464725490010676,-0.3066712816682001,-0.7963880546484878,-0.3870493720339574,0.2200065406785295,1.1120343493606442,-0.50487946267193,-0.3941317112657172,-1.0606601717798214,-1.0026866471977223,-0.8586513881910441,-0.5117149302269771,-0.3416467332313079,-0.3103356522577559,-0.38063233067759006,-1.2410178367185611,-0.3030876181956845,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.3550530271040414,0.044820896615738785,0.40443713769663525,-0.3915807486254093,1.6302605641952626,0.5759668649755648,-0.7778079426444904,-0.3941317112657172,-1.0606601717798214,0.4148838195872221,0.7072668771020008,-0.4117598909553414,3.913281109696824,-0.31634410650910144,-0.35879999491331394,0.23843422549783994,-0.3068182595983529,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.25359028724960747,-0.2575115364536632,-0.6934076399910194,-0.3834242707607957,-0.8068346701945914,-0.03668168860738258,-0.7778079426444904,-0.3941317112657172,-1.0606601717798214,-0.6691596596919227,-0.7238762819797009,-0.6819630038002823,-0.3443593999277039,-0.35319595925068775,-0.3639370150931436,1.6390988997855573,0.0932930308378305,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.2466498392465354,-0.3066712816682001,-0.7963880546484878,-0.3879556473522478,-1.3180517537194072,-1.491722003366883,-0.12277959071034518,-0.3941317112657172,-1.0606601717798214,-1.3942558409763066,-0.8586513881910441,-0.7117873393252981,-0.3416467332313079,-0.23022292890648133,-0.3546903787694502,-0.7814247404679039,-0.25085863855832724,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.34778208157701357,-0.25620060991460886,-0.6308838168061278,-0.39724496936472425,1.1190434806704468,-3.559410871709331,1.7877197690975786,-0.3941317112657172,-1.0606601717798214,-0.6992223718106554,-0.7779780046152943,-0.4784909318714509,11.116595440457234,-0.2218110929545975,-0.3598273989492799,-1.2891656848972015,-0.3068182595983529,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.34612959395723447,-0.2513938792714097,-0.6180112649739443,-0.37254896694131107,-0.44986412049191854,0.4993857957776967,1.9514768570811143,-0.3941317112657172,0.9428090415820634,-0.5945398650255207,-0.6257626838931811,-0.34192752016933237,1.330034118422794,-0.34438355968204754,-0.3703582903179307,1.1313579553562596,-0.24936638199725988,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.3345621806187811,-0.2884821759388215,-0.7412199753677012,-0.3707364163047302,-1.6662082157751008,-0.3430059653988563,1.56937698511953,-0.3941317112657172,0.9428090415820634,-0.7168673972655241,-0.7868372395310658,-0.38593066834475803,-0.3416467332313079,-0.3423807415982657,-0.34236153033785893,-0.42688149478882564,-0.2438947746066796,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
